Title,Max Players,Multiplatform?,Online?,Genres,Licensed?,Comp_Time_Main,Review Score,Year,Publishers
Quake 4,1,True,True,Action,True,8.0,75,2005,Activision
Pokmon Trozei!,1,True,True,Strategy,True,2.93,74,2005,Nintendo
Need for Speed: Most Wanted,1,True,True,Racing / Driving,True,10.0,45,2005,EA
Mega Man Maverick Hunter X,1,True,True,Action,True,4.0,79,2005,Capcom
Metroid Prime Pinball,1,True,True,Action,True,2.77,79,2005,Nintendo
NBA 06,1,True,True,Sports,True,4.0,72,2005,Sony
GUN ,1,True,True,Action,True,6.0,75,2005,Activision
NBA 2K6 ,1,True,True,Sports,True,-100.0,81,2005,2K
Pinball Hall of Fame: The Gottlieb Collection,4,True,True,Action,True,-100.0,73,2005,Unknown
Harry Potter and the Goblet of Fire,1,True,True,Action,True,8.0,68,2005,EA
Tony Hawk's American Sk8land,1,True,True,Sports,True,-100.0,84,2005,Activision
MVP Baseball,1,True,True,Sports,True,-100.0,67,2005,EA
Tiger Woods PGA Tour,1,True,True,Sports,True,-100.0,78,2005,EA
World Series of Poker,1,True,True,Sports,True,-100.0,37,2005,Activision
SSX on Tour,1,True,True,Sports,True,-100.0,79,2005,EA
Tiger Woods PGA Tour 06,1,True,True,Sports,True,-100.0,80,2005,EA
Death Jr.,1,True,True,Action,True,3.5300000000000002,61,2005,Konami
Harry Potter and the Goblet of Fire,1,True,True,Action,True,8.0,70,2005,EA
MediEvil Resurrection,1,True,True,Action,True,9.0,66,2005,Sony
"The Chronicles of Narnia: The Lion, the Witch a...",1,True,True,Action,True,2.45,65,2005,Unknown
Shrek SuperSlam,1,True,True,Action,True,1.5,56,2005,Activision
Virtua Tennis: World Tour,1,True,True,Sports,True,-100.0,84,2005,Sega
Prince of Persia: Revelations,1,True,True,Action,True,-100.0,65,2005,Ubisoft
Burnout Legends,1,True,True,Action,True,7.0,38,2005,EA
Meteos,1,True,True,Strategy,True,7.5,88,2005,Nintendo
Spyro: Shadow Legacy,1,True,True,Role-Playing (RPG),True,2.52,50,2005,Unknown
The Con,1,True,True,Action,True,-100.0,63,2005,Sony
Infected,1,True,True,Action,True,6.67,74,2005,Unknown
Pursuit Force,1,True,True,Action,True,10.0,75,2005,Sony
Kingdom of Paradise,2,True,True,Action,True,-100.0,72,2005,Sony
Dragon Ball Z: Supersonic Warriors 2,1,True,True,Action,True,14.97,66,2005,Atari
Dragon Quest Heroes: Rocket Slime,1,True,True,Action,True,12.17,83,2005,SquareEnix
Dead to Rights: Reckoning,1,True,True,Action,True,2.15,54,2005,Namco
Amped 3,1,True,True,Sports,True,6.67,72,2005,2K
Break 'em All,1,True,True,Action,True,-100.0,68,2005,Unknown
Lunar: Dragon Song,1,True,True,Role-Playing (RPG),True,19.85,59,2005,Ubisoft
Madden NFL 06,1,True,True,Sports,True,-100.0,66,2005,EA
Retro Atari Classics,1,True,True,Action,True,-100.0,51,2005,Atari
True Swing Golf,1,True,True,Sports,True,-100.0,66,2005,Nintendo
FIFA Soccer,1,True,True,Sports,True,-100.0,73,2005,EA
Metal Gear Ac!d 2,1,True,True,Strategy,True,14.2,80,2005,Konami
ATV Quad Frenzy,1,True,True,Racing / Driving,True,-100.0,35,2005,Unknown
Bomberman,1,True,True,Strategy,True,3.2,75,2005,Ubisoft
GoldenEye: Rogue Agent,1,True,True,Action,True,8.5,58,2005,EA
Need for Speed Underground 2,1,True,True,Racing / Driving,True,20.0,65,2005,EA
Frogger: Helmet Chaos,1,True,True,Action,True,-100.0,66,2005,Konami
The Lord of the Rings: Tactics,1,True,True,Role-Playing (RPG),True,5.0,64,2005,EA
Rengoku: The Tower of Purgatory,1,True,True,Action,True,4.72,43,2005,Konami
Gretzky NHL,2,True,True,Sports,True,-100.0,61,2005,Sony
Ridge Racer 6,2,True,True,Racing / Driving,True,8.0,74,2005,"EA,Namco"
Ford Racing 3,1,True,True,Action,True,3.33,49,2005,Unknown
NHL 2K6 ,1,True,True,Sports,True,-100.0,75,2005,2K
Bust-a-Move DS,1,True,True,Action,True,-100.0,75,2005,Unknown
Battles of Prince of Persia,1,True,True,Strategy,True,8.0,64,2005,Ubisoft
GripShift,1,True,True,Racing / Driving,True,-100.0,70,2005,Ubisoft
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,True,4.17,34,2005,EA
Scooby-Doo! Unmasked,1,True,True,Action,True,8.0,60,2005,THQ
Viewtiful Joe: Double Trouble!,1,True,True,Action,True,5.0,73,2005,Capcom
The Legend of Heroes: A Tear of Vermillion,1,True,True,Role-Playing (RPG),True,25.0,68,2005,Unknown
PQ: Practical Intelligence Quotient,1,True,True,Strategy,True,-100.0,69,2005,Unknown
Lost in Blue,1,True,True,Role-Playing (RPG),True,-100.0,69,2005,Konami
Ghost in the Shell: Stand Alone Complex,1,True,True,Action,True,-100.0,61,2005,Sony
Dig Dug: Digging Strike,1,True,True,Action,True,-100.0,65,2005,Namco
Frogger: Helmet Chaos,1,True,True,Action,True,-100.0,69,2005,Konami
Mega Man Battle Network 5: Double Team DS,1,True,True,Action,True,27.48,68,2005,Capcom
Nanostray,1,True,True,Action,True,1.2,71,2005,THQ
Sega Casino,1,True,True,Simulation,True,-100.0,61,2005,Sega
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,True,True,Action,True,4.5,58,2005,Konami
Pac-Man World 3,1,True,True,Action,True,8.0,61,2005,"EA,Namco"
Tokobot,1,True,True,Strategy,True,8.37,72,2005,Unknown
Fullmetal Alchemist: Dual Sympathy,1,True,True,Action,True,14.0,58,2005,Unknown
Exit,1,True,True,Action,True,6.0,77,2005,Ubisoft
Bubble Bobble Revolution,1,True,True,Action,True,-100.0,38,2005,Unknown
The Rub Rabbits!,2,True,True,Action,True,2.17,68,2005,Sega
Electroplankton,1,True,True,Simulation,True,0.5,71,2005,Nintendo
LifeSigns: Surgical Unit,1,True,True,Simulation,True,-100.0,61,2005,Unknown
Space Invaders Revolution,1,True,True,Action,True,-100.0,49,2005,Unknown
Wii Play,2,True,True,Action,True,4.0,58,2006,Nintendo
New Super Mario Bros.,1,True,True,Action,True,7.0,89,2006,Nintendo
Pokmon Diamond,1,True,True,Role-Playing (RPG),True,41.92,85,2006,Nintendo
Pokmon Pearl,1,True,True,Role-Playing (RPG),True,41.92,85,2006,Nintendo
Gears of War,2,True,True,Action,True,9.0,94,2006,Microsoft
The Legend of Zelda: Twilight Princess,1,True,True,Action,True,37.0,95,2006,Nintendo
Cooking Mama,1,True,True,Simulation,True,7.0,67,2006,Unknown
Marvel Ultimate Alliance,4,True,True,Action,True,12.37,82,2006,Activision
Daxter,1,True,True,Action,True,7.57,85,2006,Sony
The Elder Scrolls IV: Oblivion,1,True,True,Action,True,24.0,94,2006,2K
Madden NFL 07,2,True,True,Sports,True,-100.0,80,2006,EA
Grand Theft Auto: Vice City Stories,1,True,True,Action,True,16.3,86,2006,Rockstar
Resistance: Fall of Man,4,True,True,Action,True,12.0,86,2006,Sony
MotorStorm,1,True,True,Action,True,15.0,82,2006,Sony
Call of Duty 3,2,True,True,Action,True,8.0,82,2006,Activision
