Length,Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Short,Rockstar Games presents Table Tennis,2,True,True,Sports,True,6.0,81,2006,Rockstar
Short,Trauma Center: Second Opinion,1,True,True,Action,True,8.5,80,2006,Nintendo
Average,Tenchu Z,1,True,True,Action,True,20.88,56,2006,Microsoft
Short,Elite Beat Agents,1,True,True,Action,True,4.0,87,2006,Nintendo
Short,Street Fighter Alpha 3 MAX,1,True,True,Action,True,2.0,80,2006,Capcom
Long,Blue Dragon,1,True,True,Role-Playing (RPG),True,46.03,79,2006,Microsoft
Short,The Lord of the Rings: The Battle for Middle Ea...,1,True,True,Strategy,True,14.5,79,2006,EA
Short,Prey,1,True,True,Action,True,7.95,79,2006,2K
Short,Over the Hedge,1,True,True,Adventure,True,2.0,71,2006,Activision
Short,Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,True,2.08,52,2006,Unknown
Short,NHL 07 ,1,True,True,Sports,True,10.0,79,2006,EA
Long,Monster Hunter Freedom,1,True,True,Action,True,60.0,71,2006,Capcom
Short,Chromehounds,1,True,True,Action,True,10.0,71,2006,Sega
Average,Test Drive Unlimited,1,True,True,Racing / Driving,True,30.0,82,2006,Atari
Short,Dragon Ball Z: Budokai Tenkaichi 2,2,True,True,Action,True,10.0,72,2006,Atari
Average,Dragon Quest Monsters: Joker,1,True,True,Role-Playing (RPG),True,37.3,75,2006,SquareEnix
Short,Pirates of the Caribbean: Dead Man's Chest,1,True,True,Action,True,2.08,63,2006,Unknown
Short,Syphon Filter: Dark Mirror,1,True,True,Action,True,7.0,87,2006,Sony
Short,Ridge Racer 7,2,True,True,Racing / Driving,True,10.0,78,2006,"Namco,Sony"
Short,The Outfit,2,True,True,Action,True,8.0,70,2006,THQ
Short,Elebits,4,True,True,Action,True,9.0,75,2006,Konami
Short,Tiger Woods PGA Tour 07,1,True,True,Sports,True,10.0,78,2006,EA
Short,The Godfather: The Game,1,True,True,Action,True,15.0,77,2006,EA
Short,Rampage: Total Destruction,4,True,True,Action,True,5.0,46,2006,Midway
Short,Far Cry: Instincts - Predator,4,True,True,Action,True,14.98,78,2006,Ubisoft
Short,Full Auto,2,True,True,Action,True,5.0,70,2006,Sega
Long,Age of Empires: The Age of Kings,1,True,True,Strategy,True,46.0,80,2006,Unknown
Short,Need for Speed: Carbon - Own the City,1,True,True,Action,True,15.72,70,2006,EA
Short,Brothers in Arms: D-Day,1,True,True,Action,True,8.0,65,2006,Ubisoft
Short,Family Guy Video Game!,1,True,True,Action,True,5.88,51,2006,2K
Short,Superman Returns,1,True,True,Action,True,7.0,51,2006,EA
Average,Mystery Dungeon: Shiren the Wanderer,1,True,True,Action,True,22.0,69,2006,Sega
Short,Phoenix Wright: Ace Attorney - Justice for All,1,True,True,Adventure,True,17.5,76,2006,Capcom
Short,Justice League Heroes,1,True,True,Action,True,5.0,72,2006,Unknown
Short,Genji: Days of the Blade,1,True,True,Action,True,12.0,55,2006,Sony
Short,Top Spin 2,4,True,True,Sports,True,10.0,75,2006,2K
Short,Field Commander,2,True,True,Strategy,True,13.88,77,2006,"Sony,Ubisoft"
Short,Children of Mana,1,True,True,Action,True,15.0,65,2006,"Nintendo,SquareEnix"
Average,Valkyrie Profile: Lenneth,1,True,True,Role-Playing (RPG),True,29.98,80,2006,SquareEnix
Average,Enchanted Arms,1,True,True,Role-Playing (RPG),True,21.83,69,2006,Ubisoft
Short,NHL 07,4,True,True,Sports,True,10.0,76,2006,EA
Short,Full Auto 2: Battlelines,2,True,True,Action,True,8.75,67,2006,Sega
Short,Blitz: The League,2,True,True,Sports,True,15.0,69,2006,Midway
Short,Star Trek Legacy,2,True,True,Action,True,11.0,64,2006,Ubisoft
Short,Eragon,1,True,True,Action,True,6.0,63,2006,Unknown
Short,Mega Man ZX,1,True,True,Action,True,8.95,76,2006,Capcom
Short,X-Men: The Official Game,1,True,True,Action,True,12.5,52,2006,Activision
Short,Happy Feet,2,True,True,Action,True,0.67,46,2006,Midway
Short,Open Season,1,True,True,Action,True,3.5,72,2006,Ubisoft
Short,Dungeon Siege: Throne of Agony,1,True,True,Role-Playing (RPG),True,17.22,74,2006,2K
Short,LocoRoco,1,True,True,Action,True,5.0,83,2006,Sony
Short,Dead or Alive: Xtreme 2,1,True,True,Racing / Driving,True,1.0,53,2006,Unknown
Short,Fuzion Frenzy 2,4,True,True,Action,True,1.75,49,2006,Microsoft
Short,Lumines II,2,True,True,Strategy,True,15.0,81,2006,Unknown
Short,Star Wars: Lethal Alliance,1,True,True,Action,True,5.0,61,2006,Ubisoft
Short,Worms: Open Warfare,1,True,True,Action,True,8.25,70,2006,THQ
Short,Eragon,4,True,True,Action,True,6.0,59,2006,Unknown
